Condo Name,Town,District,Launch Date (TOP)
SPRINGHILL,"Sembawang, Yishun",District 27,2008
STRAITS GARDENS,"Sembawang, Yishun",District 27,2005
SUN PLAZA,"Sembawang, Yishun",District 27,2001
SYMPHONY SUITES,"Sembawang, Yishun",District 27,2019
THE BROWNSTONE,"Sembawang, Yishun",District 27,2019
THE CANOPY,"Sembawang, Yishun",District 27,2013
THE CRITERION,"Sembawang, Yishun",District 27,2018
THE ESTUARY,"Sembawang, Yishun",District 27,2013
THE MILTONIA RESIDENCES,"Sembawang, Yishun",District 27,2014
THE NAUTICAL,"Sembawang, Yishun",District 27,2016
THE SHAUGHNESSY,"Sembawang, Yishun",District 27,2007
THE SHORELINE RESIDENCES I,"Sembawang, Yishun",District 27,2015
THE WISTERIA,"Sembawang, Yishun",District 27,2018
VICTORY 8,"Sembawang, Yishun",District 27,2014
YISHUN EMERALD,"Sembawang, Yishun",District 27,2002
YISHUN SAPPHIRE,"Sembawang, Yishun",District 27,2002
8 @ STRATTON,"Seletar, Yio Chu Kang",District 28,2009
ALANA,"Seletar, Yio Chu Kang",District 28,2017
CABANA,"Seletar, Yio Chu Kang",District 28,2013
ESTE VILLAS,"Seletar, Yio Chu Kang",District 28,2014
FLORAVILLE,"Seletar, Yio Chu Kang",District 28,2018
GERALD RESIDENCE,"Seletar, Yio Chu Kang",District 28,2001
H2O RESIDENCES,"Seletar, Yio Chu Kang",District 28,2015
HIGH PARK RESIDENCES,"Seletar, Yio Chu Kang",District 28,2020
LUXUS HILLS,"Seletar, Yio Chu Kang",District 28,2013
MIMOSA GARDENS,"Seletar, Yio Chu Kang",District 28,2005
RIVERBANK @ FERNVALE,"Seletar, Yio Chu Kang",District 28,2018
SARACA VILLAS,"Seletar, Yio Chu Kang",District 28,2002
SELETAR PARK RESIDENCE,"Seletar, Yio Chu Kang",District 28,2015
SELETAR SPRINGS CONDO,"Seletar, Yio Chu Kang",District 28,2001
SELETAR VIEW,"Seletar, Yio Chu Kang",District 28,2013
STRATTON GREEN,"Seletar, Yio Chu Kang",District 28,2003
SUMMER VILLAS,"Seletar, Yio Chu Kang",District 28,2004
THE GREENWICH,"Seletar, Yio Chu Kang",District 28,2014
